City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
118,lukow,100,PL,1574914688,97,51.93,22.38,44.01,9.89
119,ambilobe,100,MG,1574914688,85,-13.19,49.05,75.85,3.13
120,buraydah,75,SA,1574914688,93,26.33,43.97,62.6,6.93
121,beroroha,0,MG,1574914688,69,-21.68,45.17,76.51,3.38
122,necochea,0,AR,1574914405,83,-38.55,-58.74,54.0,4.0
123,isabela,43,PH,1574914688,71,10.2,122.99,81.27,11.34
124,lebu,82,ET,1574914688,85,8.96,38.73,47.61,1.83
125,shahrud,0,IR,1574914688,75,36.42,54.97,31.66,1.34
126,jumla,100,NP,1574914688,47,29.28,82.18,42.39,2.39
127,faanui,84,PF,1574914688,80,-16.48,-151.75,81.91,14.14
128,severo-kurilsk,85,RU,1574914689,80,50.68,156.12,23.72,10.16
129,madras,90,US,1574914689,92,44.63,-121.13,28.0,9.17
130,bilma,0,NE,1574914689,22,18.69,12.92,70.45,10.89
131,ilulissat,100,GL,1574914689,57,69.22,-51.1,19.4,1.12
132,thompson,40,CA,1574914689,84,55.74,-97.86,3.2,5.82
133,deputatskiy,98,RU,1574914689,89,69.3,139.9,-21.42,3.11
134,sire,100,ET,1574914689,66,8.28,39.49,60.19,3.0
135,sulphur springs,90,US,1574914689,55,33.14,-95.6,53.6,8.05
136,pisco,100,PE,1574914689,88,-13.71,-76.2,64.99,8.05
137,santa maria,75,BR,1574914689,83,-16.02,-48.01,73.4,2.24
138,fairbanks,1,US,1574914564,86,64.84,-147.72,32.0,8.05
139,dongsheng,76,CN,1574914690,60,29.72,112.52,43.52,9.53
140,egvekinot,100,RU,1574914690,95,66.32,-179.17,7.23,3.13
141,wanaka,98,NZ,1574914690,52,-44.7,169.14,71.01,7.0
142,serebryansk,91,KZ,1574914690,92,49.68,83.3,4.51,0.6
143,tommot,100,RU,1574914690,91,58.97,126.27,4.84,11.32
144,cairo,0,EG,1574914429,48,30.05,31.24,62.6,8.05
145,ulaangom,39,MN,1574914690,70,49.98,92.07,2.25,2.75
146,rawson,91,AR,1574914690,65,-43.3,-65.11,54.7,11.41
147,shu,0,KZ,1574914690,70,43.6,73.76,9.99,1.77
148,poya,0,NC,1574914690,79,-21.35,165.16,75.18,19.84
149,outjo,41,NA,1574914690,56,-20.11,16.16,71.17,9.22
150,kruisfontein,0,ZA,1574914690,85,-34.0,24.73,51.55,3.74
151,ribeira grande,100,PT,1574914690,89,38.52,-28.7,61.86,9.15
152,petropavlovsk-kamchatskiy,40,RU,1574914691,58,53.05,158.65,30.2,8.95
153,lang son,81,VN,1574914691,62,21.83,106.73,59.09,9.26
154,haines junction,84,CA,1574914691,73,60.75,-137.51,8.02,9.57
155,inhambane,75,MZ,1574914691,74,-23.87,35.38,80.6,11.41
156,torbay,90,CA,1574914691,93,47.66,-52.73,39.0,23.04
157,san jose,0,HN,1574914691,89,14.25,-87.96,65.52,7.11
158,nantucket,20,US,1574914691,100,41.28,-70.1,54.0,10.29
159,pacific grove,40,US,1574914691,81,36.62,-121.92,45.0,8.05
